RecordID,d_1,d_15,d_16,d_2,d_20,d_21,d_3,d_4,d_5,d_6,d_7,d_8,Intention_to_leave,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_2,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28,q_29,q_3,q_30,q_31,q_32,q_33,q_34,q_35,q_36,q_37,q_38,q_39,q_4,q_40,q_41,q_42,q_43,q_44,q_45,q_46,q_47,q_48,q_49,q_5,q_50,q_51,q_52,q_53,q_54,q_55,q_6,q_7,q_8,q_9
1,3,2,4,1,,5,2,2,1,1,1,,0,1,2,2,1,2,1,1,2,1,5,1,4,2,2,4,4,3,3,2,,,1,,,,2,3,3,1,4,1,3,2,2,1,1,1,2,1,1,1,1,1,1,1,2,3,2,1,3,2,1,3,1
10,3,5,4,1,,1,2,2,16,1,2,1,0,1,1,2,1,1,2,2,5,1,1,1,2,1,2,1,2,1,1,1,,,1,,,,1,1,5,2,2,2,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,2,1,2,4,2,2,2,1
100,3,3,4,1,,2,2,,10,1,1,1,1,5,1,1,1,1,1,4,2,1,2,2,2,2,2,3,2,2,2,1,,,1,,,,2,2,5,2,1,4,2,1,4,3,2,1,2,1,5,2,2,1,1,1,2,2,1,5,5,2,2,4,1
1000,3,6,4,1,25,1,2,2,1,1,1,3,0,1,1,4,1,2,5,5,2,1,2,1,1,1,4,2,1,1,1,2,,,2,,,,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1
10000,0,0,,1,6,1,1,2,0,2,,1,0,1,2,2,1,2,4,2,3,4,4,1,2,3,4,3,3,5,5,5,3,3,1,3,1,2,4,5,1,1,1,4,2,3,3,2,5,2,2,2,2,2,2,2,1,2,1,4,2,5,3,3,2,5,1
10001,3,2,,1,,2,2,2,,1,1,1,1,4,4,3,1,1,4,5,3,4,4,1,4,4,1,3,2,1,2,2,,,3,,,,3,1,4,4,4,4,1,5,4,4,3,1,1,4,3,4,2,4,5,5,2,1,4,4,3,5,4,4,3
10002,5,5,,1,,3,2,2,,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,,,1,,,,1,2,1,1,1,1,1,2,2,2,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2
10003,6,5,4,2,34,4,2,2,1,1,2,,0,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,,,1,,,,2,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1
10004,6,6,,1,1,3,2,2,1,2,2,1,0,5,1,5,5,5,1,1,5,1,5,1,2,5,5,3,1,5,1,5,5,5,1,5,5,5,1,5,5,1,5,5,5,1,1,4,5,1,5,5,5,5,1,5,2,5,5,5,5,1,5,1,1,5,1
10005,2,1,4,2,27,1,2,2,1,2,1,,1,1,4,2,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,,,1,,,,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,1,2,2,1,2,1
10006,2,3,4,2,26,1,2,2,1,1,1,,1,4,2,1,1,5,2,4,2,2,2,1,2,2,1,1,2,1,1,1,,,2,,,,1,1,1,1,1,2,2,5,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,2,2,4,2
10007,5,3,4,2,26,1,1,2,1,2,2,,0,1,4,1,1,1,2,2,2,1,2,1,1,2,1,4,1,1,1,1,,,1,,,,1,1,2,2,1,2,1,1,2,4,1,1,1,1,1,1,1,1,1,4,2,1,1,1,2,2,1,3,1
10008,6,8,,1,7,2,,,15,2,2,1,0,2,2,2,2,2,2,4,2,2,2,2,2,2,2,3,2,2,2,2,,,2,,,,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10009,5,6,,1,,3,2,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,,,1,,,,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2
1001,2,2,1,1,7,1,2,2,1,2,2,1,1,4,5,2,1,5,5,5,5,2,5,1,5,5,3,3,4,4,2,5,,,1,,,,1,4,2,2,1,2,2,5,4,2,5,2,4,1,2,5,1,1,1,2,5,4,1,5,5,4,4,5,1
10010,2,2,4,2,26,1,2,2,10,2,2,,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1
10011,5,6,,1,6,3,2,2,1,1,2,1,1,5,2,5,2,5,5,2,5,5,5,5,2,5,2,3,2,2,2,2,,,5,,,,5,2,2,5,2,5,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10012,3,3,4,1,,,,2,,2,,1,0,3,2,2,2,2,3,4,2,1,2,1,1,1,1,1,1,2,1,1,,,1,,,,2,2,1,1,2,1,2,1,2,1,2,3,2,4,3,2,1,4,2,2,4,2,2,3,3,1,1,4,2
10013,4,5,4,2,26,2,2,2,2,1,1,,1,4,2,3,1,2,1,2,1,2,2,1,1,2,2,1,2,2,1,2,,,1,,,,2,3,2,2,2,2,1,2,2,3,4,2,2,3,2,2,1,3,1,4,4,1,2,2,4,2,2,2,2
10014,4,3,4,1,2,2,1,1,1,2,2,1,1,5,2,2,2,4,2,2,4,4,5,2,4,3,4,2,5,5,4,5,,,1,,,,2,5,2,2,2,4,2,2,2,4,5,5,5,5,4,4,5,4,2,5,5,4,5,2,3,2,4,5,2
10015,3,4,,2,26,1,1,2,1,2,,,0,3,1,2,1,4,3,5,2,2,2,1,3,2,2,2,2,2,2,3,,,1,,,,2,2,2,2,2,1,2,2,3,4,3,2,2,3,3,3,2,2,2,4,3,3,2,4,3,3,3,3,1
10016,3,2,4,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10017,6,8,4,1,6,4,2,2,9,2,2,1,0,1,3,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,4,,,1,,,,2,1,2,1,1,1,1,1,1,1,1,1,1,5,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1
10018,6,8,4,1,6,1,2,2,1,1,2,1,1,4,2,1,1,2,2,2,4,2,2,2,2,5,1,3,1,2,2,5,4,2,1,4,2,4,2,2,4,4,1,2,1,2,4,2,5,2,2,4,1,4,1,4,2,4,2,4,2,4,5,4,2,5,2
10019,3,3,4,1,25,2,2,2,1,1,1,2,1,2,4,1,1,1,1,5,1,1,1,1,2,2,2,1,1,1,1,1,,,1,,,,1,1,2,2,1,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1
1002,4,5,4,1,25,2,2,2,1,1,2,3,0,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10020,6,7,4,1,2,3,2,2,1,2,2,1,0,2,1,4,1,2,1,1,2,1,2,1,2,2,1,3,1,2,4,4,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,4,2,1,2,4,2,2,2,1,1,2,2,1,1,1,2,2,1,4,1
10021,1,1,4,2,26,1,2,2,1,2,2,,0,1,1,2,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,,,1,,,,1,1,1,1,4,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1
10022,3,3,4,2,28,3,2,2,1,1,2,,0,2,4,2,4,5,4,5,2,1,2,1,2,2,2,4,1,1,1,2,,,1,,,,2,1,2,4,1,2,4,3,2,4,4,1,1,1,2,1,1,1,3,1,2,2,2,2,4,3,2,4,4
10023,3,3,4,2,30,3,,2,1,2,1,,1,2,4,2,2,4,2,2,1,1,2,2,2,4,2,2,2,2,1,3,,,2,,,,2,2,4,4,1,2,4,3,2,1,2,2,2,4,3,2,2,2,2,2,2,4,2,2,4,2,2,4,4
10024,4,2,4,1,,2,1,2,1,2,2,1,0,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,,,1,,,,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1
10025,2,3,4,1,,4,2,2,,2,1,1,1,1,2,2,1,2,4,4,2,2,1,1,2,3,2,3,2,2,2,4,,,1,,,,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,4,1
10026,6,2,4,1,,1,,2,,2,2,1,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
10027,3,2,4,1,2,2,2,2,1,2,2,1,0,2,2,2,2,2,1,2,2,1,2,2,2,2,2,4,2,2,2,2,,,1,,,,1,2,1,2,2,2,2,2,2,4,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2
10028,2,4,4,2,34,1,2,2,1,2,2,,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
10029,2,1,4,1,1,1,2,2,1,2,1,1,0,2,3,3,1,2,3,1,1,2,1,1,2,2,2,1,2,1,2,3,,,1,,,,1,3,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,1,2,1,2,1,3,3,4,2,2,4,1
1003,3,1,,2,30,,2,2,1,2,,,1,4,3,3,5,4,3,3,3,4,4,3,3,3,3,3,3,5,5,5,,,3,,,,3,3,4,3,3,3,1,3,4,4,5,5,5,4,3,5,5,5,3,5,5,1,4,3,5,3,3,3,1
10030,2,3,4,2,34,2,2,2,,1,2,,1,1,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,,,1,,,,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,3,1
10031,6,3,,1,7,1,2,2,1,2,1,1,0,3,1,1,1,3,3,2,2,3,3,2,3,1,1,3,3,3,3,3,,,1,,,,1,3,3,2,3,1,1,2,3,2,3,2,2,4,3,3,3,2,1,3,3,1,3,1,1,3,2,3,2
10032,3,1,3,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10033,3,2,,1,1,,,2,,1,2,1,0,2,1,2,2,2,4,1,3,2,1,2,1,1,2,1,1,1,3,2,2,2,1,2,2,3,1,2,2,1,1,3,1,2,2,3,1,3,2,2,3,3,1,1,2,1,4,1,2,1,1,2,3,2,2
10034,6,2,4,1,25,4,2,2,1,1,1,3,0,1,2,1,2,2,1,4,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1
10035,3,1,4,2,26,2,2,2,2,2,1,,0,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1
10036,3,3,,1,6,,,,,1,,1,1,3,3,1,3,5,5,4,5,5,3,2,4,5,5,3,4,5,4,5,,,1,,,,5,5,5,4,3,3,5,1,2,3,5,3,5,5,4,5,2,5,1,5,5,5,4,5,5,3,3,5,1
10037,4,7,4,2,33,1,1,2,1,1,1,,0,2,1,2,3,3,3,2,1,1,2,2,1,1,2,1,1,1,1,2,,,1,,,,1,2,2,1,1,2,2,1,1,4,1,1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1
10038,4,2,4,1,,2,2,2,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10039,4,1,1,1,2,1,2,2,4,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1004,2,3,4,2,26,1,2,2,9,2,1,,0,2,2,2,1,2,2,5,2,2,2,1,2,1,2,1,1,1,1,1,,,2,,,,1,2,2,2,2,2,1,2,3,4,2,2,1,1,2,1,2,1,1,1,2,1,2,1,2,3,2,5,2
10040,3,2,,1,25,2,,2,11,1,2,2,1,1,1,2,2,2,3,4,2,1,2,1,2,2,1,1,1,1,1,1,,,2,,,,1,1,2,1,2,1,2,1,2,2,1,1,1,2,2,3,1,1,2,2,2,2,1,2,3,2,3,2,1
10041,2,2,4,2,26,2,2,2,1,2,2,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10042,2,1,4,2,26,2,2,2,1,2,1,,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,3,1,2,1,1,3,3,1,2,1
10043,6,5,4,1,7,2,2,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10044,2,2,4,1,,2,2,2,1,2,2,1,1,4,4,4,2,3,3,2,5,2,4,3,3,3,3,3,2,3,1,2,,,3,,,,3,2,2,3,2,3,3,3,3,4,3,3,4,5,4,4,2,4,3,4,4,2,3,4,4,3,3,5,1
10045,4,4,4,1,1,5,1,2,1,1,2,1,1,2,4,5,1,5,1,4,5,1,5,1,4,4,2,3,2,2,1,1,,,1,,,,1,2,4,2,2,4,1,1,4,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,4,4,4,4
10046,2,3,4,1,7,2,2,2,1,1,1,1,0,1,3,3,2,1,2,1,4,4,1,1,3,2,1,4,2,2,1,3,1,2,2,1,1,3,1,2,2,2,1,2,1,1,1,2,2,1,2,4,3,1,1,1,2,4,1,1,1,1,1,1,1,1,1
10047,5,6,4,1,7,1,2,2,1,1,1,1,0,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1
10048,3,3,4,1,7,2,2,2,1,2,1,1,0,2,2,2,1,2,1,1,3,2,2,2,1,2,2,4,2,1,2,1,,,1,,,,2,1,2,1,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,3,1,1,3,1
10049,5,6,4,1,1,3,2,2,1,1,1,1,1,1,4,2,4,1,2,5,2,2,4,2,4,1,2,3,2,2,2,2,,,1,,,,1,3,1,2,1,2,1,2,2,4,2,4,5,2,2,4,5,3,2,4,4,1,2,1,4,2,4,3,1
1005,4,6,,1,6,3,2,2,1,2,2,1,0,4,4,2,2,2,2,2,5,5,3,2,4,4,4,3,2,2,2,2,,,4,,,,4,2,4,4,1,2,4,4,4,1,5,4,5,5,4,4,4,5,4,5,5,5,4,5,4,4,4,5,2
10050,4,5,,1,,2,2,,1,1,1,1,0,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,1,2,1,,,2,,,,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2
10051,5,6,4,2,29,2,2,2,1,1,2,,1,3,2,2,2,2,3,4,2,4,3,2,2,3,4,4,3,4,4,2,,,2,,,,2,2,3,2,2,2,2,3,2,1,3,2,4,2,2,3,3,3,2,3,3,4,4,2,5,2,2,4,3
10052,5,6,4,2,26,3,1,2,2,2,2,,0,1,1,3,3,5,2,3,2,1,2,2,2,3,1,1,1,1,1,1,,,2,,,,1,1,3,2,1,1,1,2,3,3,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,3,2
10053,2,4,4,1,25,1,2,2,1,1,1,2,0,2,1,2,4,1,1,5,1,2,2,1,2,2,2,1,1,2,1,2,,,2,,,,1,1,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,3,1,2,3,2,2,3,4,2,2,3,1
10054,5,6,,1,1,2,2,2,4,2,2,1,0,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,2,,,1,,,,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,2,1
10055,4,2,4,2,28,2,2,2,1,1,2,,1,2,2,2,2,5,2,4,2,2,3,1,2,2,2,2,2,1,2,2,,,1,,,,1,2,2,2,2,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,3,3,1
10056,5,3,4,1,1,2,2,,,2,,1,0,4,2,2,5,4,4,2,3,1,4,2,2,4,2,3,4,4,4,4,,,2,,,,2,4,2,2,2,2,1,4,4,2,4,2,2,2,2,4,2,2,2,4,2,4,5,4,5,4,4,5,2
10057,5,3,4,2,26,2,1,2,1,2,2,,0,1,1,1,1,1,1,1,2,2,3,1,2,2,2,4,1,1,1,2,,,2,,,,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
10058,2,1,4,1,6,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,,,1,,,,1,1,1,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1
10059,2,2,4,1,7,3,2,2,4,2,2,1,0,4,1,1,4,1,1,2,1,2,1,1,1,3,1,1,2,2,4,1,,,1,,,,2,3,1,1,1,1,1,1,3,1,3,1,3,4,2,3,2,4,1,4,1,2,4,3,1,1,1,2,4
1006,6,3,4,1,7,1,1,2,1,2,1,1,0,1,2,2,2,4,1,2,2,1,2,1,2,2,1,4,1,1,1,1,,,1,,,,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,3,3,1
10060,2,2,4,1,,1,2,2,1,2,2,1,1,2,2,4,4,2,3,1,2,2,2,1,2,2,1,1,1,1,1,1,,,1,,,,1,1,1,2,2,1,2,2,2,1,2,2,1,2,1,2,1,1,2,4,2,2,2,1,2,2,2,4,4
10061,5,3,1,1,7,1,2,2,1,1,1,1,0,3,2,4,1,2,2,2,2,1,4,2,2,2,2,2,2,4,2,4,,,1,,,,5,4,5,2,2,4,2,2,2,1,4,3,2,4,4,3,2,2,1,5,2,4,2,4,4,2,2,4,1
10062,2,2,4,1,4,3,2,2,2,2,1,1,1,2,2,2,2,4,4,5,4,2,5,2,5,4,2,3,4,3,4,4,1,2,3,4,3,4,2,4,4,2,2,4,2,4,4,2,2,1,2,2,3,2,2,2,4,4,1,3,2,3,4,4,4,5,2
10063,4,7,4,1,7,2,1,2,,2,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10064,4,7,,1,7,2,1,2,1,2,2,1,0,1,1,1,1,2,1,1,2,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,2,4,1
10065,5,6,4,1,,2,1,2,1,2,2,1,0,1,1,3,1,2,1,1,2,1,2,1,1,4,4,2,1,1,1,4,,,1,,,,2,1,1,2,1,1,1,1,1,1,1,2,2,4,1,3,1,1,2,4,2,4,1,2,2,3,2,2,1
10066,4,1,4,1,7,1,,2,1,2,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,3,1
10067,2,2,1,2,26,2,2,2,1,2,2,,0,3,3,3,3,3,3,5,2,4,3,1,3,3,2,4,2,2,2,2,,,3,,,,2,2,2,3,2,2,1,2,2,1,2,2,1,3,3,3,2,1,3,4,2,1,3,1,3,3,2,5,2
10068,3,3,4,1,6,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10069,5,6,1,2,30,3,2,1,,1,1,,1,2,1,2,1,5,2,5,5,1,5,1,5,4,5,3,1,1,1,1,,,1,,,,1,1,5,1,2,5,1,2,5,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,1,5,1
1007,2,2,2,1,,3,2,2,1,2,2,1,0,2,2,2,1,1,2,1,4,2,2,1,4,2,2,1,5,5,4,5,,,1,,,,1,5,2,3,2,2,1,1,2,1,2,2,5,5,5,4,2,2,2,5,1,2,5,4,5,1,2,5,1
10070,5,6,4,2,33,3,2,2,1,1,1,,0,1,1,3,2,3,1,3,2,1,2,1,1,1,2,1,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,1
10071,3,5,4,1,25,2,2,2,1,1,1,3,1,5,2,2,5,1,1,5,2,2,4,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,4,2,1,2,1,3,4,2,2,2,1,2,2,4,1,4,2,4,2,2,2,2,4,2,2,4,2
10072,4,6,,1,,1,2,2,1,2,2,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,1
10073,5,4,4,1,7,2,1,2,7,2,2,1,0,1,1,1,1,2,1,5,2,1,1,1,1,1,1,4,1,1,1,1,5,5,1,5,5,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1
10074,3,3,4,1,1,2,2,2,1,1,2,1,1,5,5,2,5,5,5,5,5,5,5,1,5,5,2,3,1,2,5,5,2,2,2,2,2,4,5,1,2,5,5,5,2,5,5,4,5,5,5,4,5,5,3,5,2,5,5,5,5,5,2,5,5,5,5
10075,3,2,,1,,3,2,2,12,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10076,5,4,4,2,26,2,2,2,1,2,2,,1,4,1,3,1,4,5,1,3,2,2,2,3,5,4,4,4,4,2,5,,,2,,,,4,3,4,1,3,2,5,5,3,4,5,5,3,4,3,4,1,4,4,3,3,5,4,4,4,3,3,5,1
10077,3,5,4,1,6,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,4,2,2,1,2,2,2,4,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,4,4,1,2,2,2,2,2,2,2,4,1,2,1,4,2,2,2,4,1
10078,5,6,4,1,1,1,1,2,1,2,2,1,0,1,1,1,1,1,2,1,1,1,3,1,2,2,2,2,1,1,1,1,,,1,,,,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,2,1
